id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-493692,2025-05-06,000001,Vente,1127920,4,,RUE DE RIVOLI,8249,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0003,,,14,70.78,73,,75,,76,,,,4,3,Dépendance,,0,,,,,,2.361476,48.855438
2025-493692,2025-05-06,000001,Vente,1127920,4,,RUE DE RIVOLI,8249,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0003,,,14,70.78,73,,75,,76,,,,4,3,Dépendance,,0,,,,,,2.361476,48.855438
2025-493706,2025-04-25,000001,Vente,390000,13,,RUE DES FRANCS BOURGEOIS,3820,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0029,,,4,28.26,,,,,,,,,1,2,Appartement,27,1,,,,,,2.363343,48.856506
2025-493706,2025-04-25,000001,Vente,390000,13,,RUE DES FRANCS BOURGEOIS,3820,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0029,,,17,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.363343,48.856506
2025-493736,2025-05-12,000001,Vente,329300,43,,RUE DES BLANCS MANTEAUX,1013,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0078,,,4,24.1,,,,,,,,,1,2,Appartement,25,1,,,,,,2.354923,48.859675
2025-493788,2025-04-30,000001,Vente,2640000,4,,QUAI DU MARCHE NEUF,6025,75004,75104,Paris 4e Arrondissement,75,,,75104000AY0010,,,32,,4,,,,,,,,2,3,Dépendance,,0,,,,,,2.345741,48.854318
2025-493788,2025-04-30,000001,Vente,2640000,4,,QUAI DU MARCHE NEUF,6025,75004,75104,Paris 4e Arrondissement,75,,,75104000AY0010,,,32,,4,,,,,,,,2,2,Appartement,150,5,,,,,,2.345741,48.854318
2025-493791,2025-05-19,000001,Vente,31000,30,,RUE DU PETIT MUSC,7338,75004,75104,Paris 4e Arrondissement,75,,,75104000AP0005,,,271,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.36543,48.852861
2025-493812,2025-05-19,000001,Vente,1387366.6,13,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0066,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354392,48.85804
2025-493812,2025-05-19,000001,Vente,1387366.6,13,,RUE DES ARCHIVES,0420,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0066,,,10,114,,,,,,,,,1,2,Appartement,117,5,,,,,,2.354392,48.85804
2025-493827,2025-05-15,000001,Vente,85000,39,,RUE SAINTE CROIX BRETONNERIE,8548,75004,75104,Paris 4e Arrondissement,75,,,75104000AF0025,,,142,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353994,48.858505
2025-493828,2025-05-19,000001,Vente,237000,5,,RUE DES FRANCS BOURGEOIS,3820,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0033,,,36,,,,,,,,,,1,2,Appartement,28,1,,,,,,2.363867,48.856392
2025-493828,2025-05-19,000001,Vente,237000,5,,RUE DES FRANCS BOURGEOIS,3820,75004,75104,Paris 4e Arrondissement,75,,,75104000AN0033,,,13,18.26,,,,,,,,,1,2,Appartement,27,1,,,,,,2.363867,48.856392
2025-493829,2025-05-22,000001,Vente,1176000,8,,AV VICTORIA,9765,75004,75104,Paris 4e Arrondissement,75,,,75104000AD0049,,,18,128.88,,,,,,,,,1,2,Appartement,110,6,,,,,,2.349688,48.857422
2025-493829,2025-05-22,000001,Vente,1176000,8,,AV VICTORIA,9765,75004,75104,Paris 4e Arrondissement,75,,,75104000AD0049,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.349688,48.857422
2025-493864,2025-05-20,000001,Vente,937550,17,,QUAI DE BOURBON,1182,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0008,,,63,66.07,,,,,,,,,1,2,Appartement,63,3,,,,,,2.355857,48.852581
2025-493897,2025-04-30,000001,Vente,2393000,3,,RUE LE REGRATTIER,5599,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0111,,,13,1.4,2,,3,,,,,,3,2,Appartement,111,5,,,,,,2.354197,48.851948
2025-493897,2025-04-30,000001,Vente,2393000,3,,RUE LE REGRATTIER,5599,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0111,,,11,,4,33.87,,,,,,,2,2,Appartement,28,2,,,,,,2.354197,48.851948
