Annee_financement,Arrondissement,Nb_logements_sociaux,percent_logement_sociaux_finances
2023,2,4,0.13179571663920922
2023,1,29,0.9555189456342669
2023,6,48,1.5815485996705108
2023,4,74,2.4382207578253707
2023,8,38,1.2520593080724876
2024,18,229,8.618742943168987
2024,12,637,23.974407226194955
2024,7,33,1.242002258185924
2024,15,337,12.68347760632292
2024,3,11,0.41400075272864134
2024,17,56,2.107640195709447
2024,20,365,13.737297704177644
2024,9,98,3.688370342491532
2024,10,60,2.2581859239744073
2024,16,16,0.602182913059842
2024,5,166,6.24764772299586
2024,13,254,9.55965374482499
2024,11,104,3.9141889348889727
2024,14,30,1.1290929619872037
2024,19,100,3.763643206624012
2024,2,18,0.6774557771923222
2024,1,0,0.0
2024,6,116,4.365826119683854
2024,4,21,0.7903650733910426
2024,8,6,0.22581859239744073
